0.457000 0.493272   -0.117000 0.098395   
0.432000 0.481427   -0.065000 0.099011   
0.419000 0.471117   -0.019000 0.100978   
0.419000 0.465014   0.007000 0.103946   
0.423000 0.464886   0.035000 0.106531   
0.427000 0.466671   0.068000 0.109954   
0.434000 0.468621   0.105000 0.114576   
0.444000 0.472534   0.146000 0.120594   
0.455000 0.479087   0.189000 0.128572   
0.463000 0.488319   0.235000 0.138569   
0.471000 0.498774   0.283000 0.151779   
0.481000 0.511268   0.299000 0.168466   
0.491000 0.523417   0.290000 0.176177   
0.500000 0.532670   0.281000 0.176282   
0.508000 0.540162   0.272000 0.178117   
0.514000 0.579770   0.263000 0.143895   
0.518000 0.573097   0.256000 0.156110   
0.520000 0.564732   0.250000 0.170889   
0.523000 0.543436   0.244000 0.185848   
0.500000 0.531489   0.266000 0.203881   
0.483000 0.526052   0.279000 0.217164   
0.519000 0.518165   0.244000 0.230701   
0.534000 0.496193   0.230000 0.258237   
0.533000 0.479741   0.229000 0.280679   
0.513000 0.467782   0.252000 0.297873   
0.480000 0.461630   0.333000 0.312744   
0.463000 0.468946   0.405000 0.337781   
0.488000 0.473501   0.488000 0.374985   
0.538000 0.485461   0.479000 0.433615   
0.543000 0.478736   0.459000 0.449304   
0.537000 0.465202   0.433000 0.449826   
0.358000 0.448425   0.400000 0.444498   
0.209000 0.373718   0.359000 0.428736   
0.129000 0.273534   0.308000 0.406314   
0.021000 0.189598   0.029000 0.391851   
0.750000 0.480165   -0.000000 0.074311   
0.740000 0.537257   0.750000 0.410442   
0.730000 0.590287   0.750000 0.625210   
0.729000 0.589310   0.750000 0.622784   
0.729000 0.589898   0.750000 0.623138   
0.728000 0.591197   0.750000 0.622679   
0.728000 0.592661   0.750000 0.621761   
0.729000 0.594718   0.750000 0.620665   
0.728000 0.597446   0.750000 0.619367   
0.728000 0.600360   0.750000 0.617071   
0.727000 0.603257   0.750000 0.615359   
0.728000 0.606657   0.750000 0.612672   
0.728000 0.610816   0.750000 0.609943   
0.728000 0.614857   0.750000 0.606969   
0.728000 0.619046   0.750000 0.603773   
0.728000 0.623383   0.750000 0.600391   
0.728000 0.627580   0.750000 0.597151   
0.728000 0.632037   0.750000 0.593486   
0.727000 0.636303   0.750000 0.589998   
0.727000 0.640549   0.750000 0.586021   
0.727000 0.645046   0.750000 0.582036   
0.726000 0.649177   0.750000 0.578467   
0.725000 0.653543   0.750000 0.574082   
0.725000 0.657957   0.750000 0.569566   
0.725000 0.662813   0.750000 0.565364   
0.724000 0.667248   0.750000 0.561124   
0.723000 0.672126   0.750000 0.555841   
0.722000 0.677354   0.750000 0.550059   
0.721000 0.682342   0.750000 0.544580   
0.720000 0.688210   0.750000 0.538447   
0.708000 0.655559   0.750000 0.537406   
0.708000 0.660249   0.750000 0.526399   
0.709000 0.665607   0.750000 0.519059   
0.710000 0.671687   0.750000 0.510982   
0.712000 0.677969   0.732000 0.502506   
0.714000 0.682265   0.702000 0.490032   
0.715000 0.685218   0.674000 0.472774   
0.715000 0.688270   0.649000 0.453739   
0.712000 0.691306   0.620000 0.434596   
0.704000 0.693223   0.588000 0.412108   
0.691000 0.693740   0.554000 0.386781   
0.674000 0.692910   0.519000 0.359442   
0.656000 0.690644   0.484000 0.330988   
0.637000 0.686916   0.448000 0.303709   
0.614000 0.681896   0.412000 0.276910   
0.593000 0.674941   0.375000 0.251370   
0.596000 0.667236   0.338000 0.227294   
0.601000 0.662659   0.302000 0.210079   
0.606000 0.658428   0.266000 0.195447   
0.608000 0.653641   0.230000 0.184186   
0.605000 0.647839   0.195000 0.175810   
0.601000 0.641433   0.160000 0.168932   
0.618000 0.634712   0.162000 0.164441   
